eth_change_pct,net_with_loan,net_holding,loan_advantage
-50.0,-1750.0,-3750.0,7000.0
-46.93877551020408,-1520.4081632653065,-3520.4081632653065,7000.0
-43.87755102040816,-1290.816326530612,-3290.816326530612,7000.0
-40.816326530612244,-1061.224489795919,-3061.224489795919,7000.0
-37.755102040816325,-831.6326530612241,-2831.632653061224,7000.0
-34.69387755102041,-602.0408163265301,-2602.04081632653,7000.0
-31.63265306122449,-372.4489795918371,-2372.448979591837,7000.0
-28.57142857142857,-142.85714285714312,-2142.857142857143,7000.0
-25.510204081632654,86.73469387755176,-1913.2653061224482,7000.0
-22.44897959183674,316.3265306122448,-1683.6734693877552,7000.0
-19.387755102040817,545.9183673469388,-1454.0816326530612,7000.0
-16.3265306122449,775.5102040816328,-1224.4897959183672,7000.0
-13.265306122448983,1005.1020408163258,-994.8979591836742,7000.0
-10.204081632653061,1234.6938775510198,-765.3061224489802,7000.0
-7.142857142857145,1464.2857142857147,-535.7142857142853,7000.0
-4.081632653061224,1693.8775510204086,-306.12244897959135,7000.0
-1.0204081632653073,1923.4693877551017,-76.5306122448983,7000.0
2.0408163265306145,2153.0612244897966,153.0612244897966,7000.0
5.102040816326525,2382.6530612244887,382.65306122448874,7000.0
8.163265306122447,2612.2448979591845,612.2448979591845,7000.0
11.22448979591837,2841.8367346938776,841.8367346938776,7000.0
14.28571428571428,3071.4285714285706,1071.4285714285706,7000.0
17.3469387755102,3301.0204081632655,1301.0204081632655,7000.0
20.408163265306122,3530.6122448979586,1530.6122448979586,7000.0
23.469387755102034,3760.2040816326517,1760.2040816326517,7000.0
26.530612244897956,3989.7959183673483,1989.7959183673483,7000.0
29.591836734693878,4219.387755102041,2219.3877551020414,7000.0
32.6530612244898,4448.9795918367345,2448.9795918367345,7000.0
35.71428571428571,4678.571428571429,2678.5714285714294,7000.0
38.775510204081634,4908.163265306122,2908.1632653061224,7000.0
41.83673469387755,5137.7551020408155,3137.7551020408155,7000.0
44.897959183673464,5367.34693877551,3367.3469387755104,7000.0
47.95918367346938,5596.938775510203,3596.9387755102034,7000.0
51.020408163265294,5826.5306122448965,3826.5306122448965,7000.0
54.08163265306123,6056.122448979591,4056.1224489795914,7000.0
57.14285714285714,6285.714285714286,4285.714285714286,7000.0
60.20408163265305,6515.306122448979,4515.306122448979,7000.0
63.26530612244898,6744.897959183674,4744.897959183674,7000.0
66.3265306122449,6974.489795918367,4974.489795918367,7000.0
69.3877551020408,7204.0816326530585,5204.0816326530585,7000.0
72.44897959183673,7433.673469387755,5433.673469387755,7000.0
75.51020408163265,7663.265306122448,5663.265306122448,7000.0
78.57142857142856,7892.857142857141,5892.857142857141,7000.0
81.63265306122449,8122.448979591836,6122.448979591836,7000.0
84.6938775510204,8352.040816326531,6352.040816326531,7000.0
87.75510204081631,8581.632653061224,6581.632653061224,7000.0
90.81632653061224,8811.224489795917,6811.224489795917,7000.0
93.87755102040816,9040.816326530614,7040.816326530614,7000.0
96.93877551020407,9270.408163265305,7270.408163265305,7000.0
100.0,9500.0,7500.0,7000.0
